index,graph_num,Adjacency_list,a,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime/microseconds,Gurobi_num_vars,Gurobi_num_constrs,Gurobi_nonzero_coefs
10,57,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,Y,"{0: 9, 1: 3, 2: 7, 3: 11, 4: 5, 5: 13}","{(0, 3): 6, (0, 4): 1, (0, 5): 2, (1, 4): 1, (1, 5): 2, (2, 4): 3, (2, 5): 4, (3, 5): 5}",93.93692016601562,8.0,6.0,16.0
11,60,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 1, 1], [1, 1, 1, 1, 0, 0], [1, 1, 1, 1, 0, 0]]",2.0,Y,"{0: 4, 1: 2, 2: 10, 3: 6, 4: 12, 5: 8}","{(0, 3): 1, (0, 4): 2, (0, 5): 1, (1, 4): 1, (1, 5): 1, (2, 4): 8, (2, 5): 2, (3, 4): 1, (3, 5): 4}",178.0986785888672,9.0,6.0,18.0
12,70,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [1, 0, 0, 1, 1, 0]]",2.0,Y,"{0: 6, 1: 2, 2: 10, 3: 8, 4: 12, 5: 4}","{(0, 3): 4, (0, 4): 1, (0, 5): 1, (1, 3): 2, (2, 4): 10, (3, 5): 2, (4, 5): 1}",79.87022399902344,7.0,6.0,14.0
13,88,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",2.0,Y,"{0: 12, 1: 4, 2: 2, 3: 10, 4: 6, 5: 8}","{(0, 3): 6, (0, 4): 4, (0, 5): 2, (1, 3): 2, (1, 4): 1, (1, 5): 1, (2, 5): 2, (3, 5): 2, (4, 5): 1}",173.09188842773438,9.0,6.0,18.0
14,91,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 1, 1], [1, 1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 0]]",3.0,Y,"{0: 3, 1: 5, 2: 9, 3: 7, 4: 11, 5: 13}","{(0, 3): 1, (0, 4): 1, (0, 5): 1, (1, 3): 1, (1, 4): 4, (2, 5): 9, (3, 4): 4, (3, 5): 1, (4, 5): 2}",255.10787963867188,9.0,6.0,18.0
15,98,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",2.0,Y,"{0: 12, 1: 6, 2: 2, 3: 8, 4: 4, 5: 10}","{(0, 3): 4, (0, 4): 1, (0, 5): 7, (1, 3): 4, (1, 4): 1, (1, 5): 1, (2, 4): 1, (2, 5): 1, (4, 5): 1}",236.98806762695312,9.0,6.0,18.0
16,109,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,Y,"{0: 5, 1: 3, 2: 7, 3: 11, 4: 9, 5: 13}","{(0, 3): 1, (0, 4): 2, (0, 5): 2, (1, 3): 1, (1, 4): 1, (1, 5): 1, (2, 3): 1, (2, 4): 5, (2, 5): 1, (3, 5): 8, (4, 5): 1}",237.94174194335938,11.0,6.0,22.0
17,110,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1], [1, 1, 1, 0, 1, 1], [1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,Y,"{0: 7, 1: 3, 2: 11, 3: 9, 4: 5, 5: 13}","{(0, 3): 1, (0, 4): 1, (0, 5): 5, (1, 3): 1, (1, 4): 1, (1, 5): 1, (2, 3): 5, (2, 4): 1, (2, 5): 5, (3, 4): 1, (3, 5): 1, (4, 5): 1}",22.88818359375,12.0,6.0,24.0
18,114,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0], [1, 1, 1, 0, 0, 0]]",3.0,Y,"{0: 5, 1: 13, 2: 7, 3: 9, 4: 3, 5: 11}","{(0, 2): 1, (0, 4): 1, (0, 5): 3, (1, 3): 9, (1, 5): 4, (2, 4): 2, (2, 5): 4}",205.99365234375,7.0,6.0,14.0
19,115,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 0], [1, 0, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",2.0,Y,"{0: 12, 1: 6, 2: 10, 3: 2, 4: 4, 5: 8}","{(0, 2): 8, (0, 4): 2, (0, 5): 2, (1, 3): 2, (1, 5): 4, (2, 4): 1, (2, 5): 1, (4, 5): 1}",76.05552673339844,8.0,6.0,16.0
20,130,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,Y,"{0: 13, 1: 5, 2: 9, 3: 7, 4: 3, 5: 11}","{(0, 2): 7, (0, 4): 1, (0, 5): 5, (1, 3): 3, (1, 4): 1, (1, 5): 1, (2, 4): 1, (2, 5): 1, (3, 5): 4}",178.0986785888672,9.0,6.0,18.0
21,133,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1], [0, 1, 0, 0, 1, 1], [1, 1, 1, 1, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,Y,"{0: 9, 1: 11, 2: 7, 3: 3, 4: 13, 5: 5}","{(0, 2): 5, (0, 4): 3, (0, 5): 1, (1, 3): 1, (1, 4): 8, (1, 5): 2, (2, 4): 1, (2, 5): 1, (3, 4): 1, (3, 5): 1}",265.8367156982422,10.0,6.0,20.0
22,140,"[[0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 1, 1, 1], [1, 0, 1, 0, 0, 0], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",3.0,Y,"{0: 5, 1: 3, 2: 13, 3: 11, 4: 9, 5: 7}","{(0, 2): 1, (0, 3): 1, (0, 4): 2, (0, 5): 1, (1, 4): 2, (1, 5): 1, (2, 3): 10, (2, 4): 1, (2, 5): 1, (4, 5): 4}",203.84788513183594,10.0,6.0,20.0
23,148,"[[0, 0, 1, 1, 0, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 1], [0, 1, 1, 0, 0, 0], [1, 1, 0, 1, 0, 0]]",3.0,Y,"{0: 3, 1: 13, 2: 5, 3: 9, 4: 11, 5: 7}","{(0, 2): 1, (0, 3): 1, (0, 5): 1, (1, 3): 4, (1, 4): 7, (1, 5): 2, (2, 4): 4, (3, 5): 4}",195.98007202148438,8.0,6.0,16.0
24,149,"[[0, 0, 1, 1, 0, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0], [1, 1, 1, 0, 0, 0]]",2.0,Y,"{0: 4, 1: 12, 2: 6, 3: 2, 4: 8, 5: 10}","{(0, 2): 1, (0, 3): 1, (0, 5): 2, (1, 3): 1, (1, 4): 4, (1, 5): 7, (2, 4): 4, (2, 5): 1}",96.08268737792969,8.0,6.0,16.0
25,153,"[[0, 0, 1, 1, 0, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [0, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,Y,"{0: 3, 1: 13, 2: 7, 3: 9, 4: 11, 5: 5}","{(0, 2): 1, (0, 3): 1, (0, 5): 1, (1, 3): 7, (1, 4): 5, (1, 5): 1, (2, 4): 5, (2, 5): 1, (3, 5): 1, (4, 5): 1}",182.86705017089844,10.0,6.0,20.0
26,158,"[[0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,Y,"{0: 5, 1: 3, 2: 7, 3: 9, 4: 11, 5: 13}","{(0, 2): 1, (0, 3): 2, (0, 4): 1, (0, 5): 1, (1, 3): 1, (1, 4): 1, (1, 5): 1, (2, 4): 5, (2, 5): 1, (3, 5): 6, (4, 5): 4}",27.179718017578125,11.0,6.0,22.0
27,161,"[[0, 0, 1, 1, 1, 1], [0, 0, 1, 1, 1, 0], [1, 1, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 0, 1, 1, 1, 0]]",3.0,Y,"{0: 13, 1: 3, 2: 11, 3: 9, 4: 7, 5: 5}","{(0, 2): 4, (0, 3): 7, (0, 4): 1, (0, 5): 1, (1, 2): 1, (1, 3): 1, (1, 4): 1, (2, 4): 4, (2, 5): 2, (3, 5): 1, (4, 5): 1}",32.18650817871094,11.0,6.0,22.0
28,164,"[[0, 0, 1, 1, 1, 1], [0, 0, 1, 1, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,Y,"{0: 9, 1: 7, 2: 11, 3: 5, 4: 3, 5: 13}","{(0, 2): 2, (0, 3): 1, (0, 4): 1, (0, 5): 5, (1, 2): 4, (1, 3): 1, (1, 4): 1, (1, 5): 1, (2, 4): 1, (2, 5): 4, (3, 5): 3}",54.12101745605469,11.0,6.0,22.0
29,165,"[[0, 0, 1, 1, 1, 1], [0, 0, 1, 1, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,Y,"{0: 9, 1: 7, 2: 11, 3: 3, 4: 5, 5: 13}","{(0, 2): 1, (0, 3): 1, (0, 4): 1, (0, 5): 6, (1, 2): 4, (1, 3): 1, (1, 4): 1, (1, 5): 1, (2, 4): 2, (2, 5): 4, (3, 5): 1, (4, 5): 1}",32.901763916015625,12.0,6.0,24.0
